subject.t0,Reason
Q47926151,No sitelink found
Q41783999,No sitelink found
Q32979496,No sitelink found
Q9151411,No sitelink found
Q75167,No sitelink found
Q779476,No sitelink found
Q1579396,No sitelink found
Q1759105,No sitelink found
Q2548342,No sitelink found
Q2930816,No sitelink found
Q3175690,No sitelink found
Q3288457,No sitelink found
Q3308908,No sitelink found
Q3419189,No sitelink found
Q3524450,No sitelink found
Q3526636,No sitelink found
Q3754664,No sitelink found
Q5675949,No sitelink found
Q5753056,No sitelink found
Q5772096,No sitelink found
Q5951964,No sitelink found
Q6014936,No sitelink found
Q10272391,No sitelink found
Q11195933,No sitelink found
Q12354247,No sitelink found
Q12357127,No sitelink found
Q12784836,No sitelink found
Q15304273,No sitelink found
Q18147901,No sitelink found
Q18818933,No sitelink found
Q19301366,No sitelink found
Q19630421,No sitelink found
Q20016277,No sitelink found
Q20155596,No sitelink found
Q20155600,No sitelink found
Q20891745,No sitelink found
Q21684758,No sitelink found
Q21684759,No sitelink found
Q21994609,No sitelink found
Q22248720,No sitelink found
Q24961118,No sitelink found
Q25840395,No sitelink found
Q26853766,No sitelink found
Q27235434,No sitelink found
Q27493744,No sitelink found
Q28920302,No sitelink found
Q29504171,No sitelink found
Q29505347,No sitelink found
Q29562096,No sitelink found
Q33120364,No sitelink found
Q39610839,No sitelink found
Q46089713,No sitelink found
Q47515104,No sitelink found
Q1783666,No sitelink found
Q3132851,No sitelink found
Q3302229,No sitelink found
Q3455949,No sitelink found
Q3473980,No sitelink found
Q5850650,No sitelink found
Q5906088,No sitelink found
Q28032212,No sitelink found
Q28799418,No sitelink found
Q1819766,No sitelink found
Q3384145,No sitelink found
Q4475081,No sitelink found
Q5833988,No sitelink found
Q5944817,No sitelink found
Q16555274,No sitelink found
Q20014059,No sitelink found
Q20653981,No sitelink found
Q22084764,No sitelink found
Q30077144,No sitelink found
Q39621741,No sitelink found
Q51846381,No sitelink found
Q3167786,No sitelink found
Q12331861,No sitelink found
Q22087804,No sitelink found
Q21280571,No sitelink found
Q18002257,No sitelink found
Q29382722,No sitelink found
Q528534,No sitelink found
Q3379335,No sitelink found
Q22266325,No sitelink found
Q50529038,No sitelink found
Q27921875,No sitelink found
Q25105,No abstract found
Q76257,No sitelink found
Q185476,No abstract found
Q315031,No abstract found
Q87664,No sitelink found
Q96454,No sitelink found
Q102267,No sitelink found
Q103932,No sitelink found
Q111089,No sitelink found
Q111843,No sitelink found
Q118832,No sitelink found
Q121292,No sitelink found
Q123184,No sitelink found
Q203091,No abstract found
Q256838,No sitelink found
Q266968,No abstract found
Q317923,No abstract found
Q373628,No abstract found
Q375098,No abstract found
Q516030,No sitelink found
Q521431,No abstract found
Q590549,No sitelink found
Q625736,No sitelink found
Q734088,No abstract found
Q770033,No abstract found
Q773517,No sitelink found
Q790850,No sitelink found
Q793348,No sitelink found
Q823905,No sitelink found
Q841308,No sitelink found
Q888141,No abstract found
Q976900,No sitelink found
Q1048253,No sitelink found
Q1132725,No sitelink found
Q1178058,No sitelink found
Q1290074,No sitelink found
Q1397097,No sitelink found
Q1512844,No abstract found
Q1561288,No sitelink found
Q1737161,No sitelink found
Q2069844,No abstract found
Q2075376,No abstract found
Q2076946,No sitelink found
Q2182794,No sitelink found
Q2364398,No sitelink found
Q2366113,No sitelink found
Q2549399,No sitelink found
Q2668254,No sitelink found
Q2834698,No sitelink found
Q2836102,No sitelink found
Q2836241,No sitelink found
Q2838695,No sitelink found
Q2843779,No sitelink found
Q2849262,No sitelink found
Q2856728,No sitelink found
Q2870605,No sitelink found
Q2877741,No sitelink found
Q2879725,No sitelink found
Q2923552,No sitelink found
Q3016326,No sitelink found
Q3085802,No sitelink found
Q3086260,No sitelink found
Q3098374,No sitelink found
Q3122049,No sitelink found
Q3123683,No sitelink found
Q3132690,No sitelink found
Q3144583,No sitelink found
Q3156068,No sitelink found
Q3166231,No sitelink found
Q3166379,No sitelink found
Q3169307,No sitelink found
Q3170255,No sitelink found
Q3171530,No sitelink found
Q3172694,No sitelink found
Q3182870,No sitelink found
Q3245060,No sitelink found
Q3249053,No sitelink found
Q3281567,No sitelink found
Q3288986,No sitelink found
Q3293816,No sitelink found
Q3293845,No sitelink found
Q3304816,No sitelink found
Q3310656,No sitelink found
Q3371776,No sitelink found
Q3383407,No sitelink found
Q3384187,No sitelink found
Q3384423,No sitelink found
Q3399200,No sitelink found
Q3407809,No sitelink found
Q3435093,No sitelink found
Q3436694,No sitelink found
Q3473086,No abstract found
Q3479426,No sitelink found
Q3695522,No abstract found
Q3697697,No sitelink found
Q3754258,No sitelink found
Q4094262,No sitelink found
Q4095224,No sitelink found
Q4099847,No sitelink found
Q4200578,No sitelink found
Q4350634,No abstract found
Q4395790,No sitelink found
Q4399047,No sitelink found
Q4481653,No sitelink found
Q4496719,No sitelink found
Q5403811,No sitelink found
Q5575035,No sitelink found
Q5647932,No sitelink found
Q5667091,No sitelink found
Q5668810,No sitelink found
Q5675384,No sitelink found
Q5697603,No sitelink found
Q5699163,No sitelink found
Q5704404,No sitelink found
Q5726940,No sitelink found
Q5750599,No sitelink found
Q5807145,No sitelink found
Q5840601,No sitelink found
Q5841063,No sitelink found
Q5861578,No sitelink found
Q5955851,No sitelink found
Q5971850,No sitelink found
Q5992998,No sitelink found
Q5993659,No sitelink found
Q6015210,No sitelink found
Q6121059,No sitelink found
Q6125224,No sitelink found
Q6153668,No sitelink found
Q6170323,No sitelink found
Q6752897,No abstract found
Q6777300,No sitelink found
Q6892126,No abstract found
Q6937967,No abstract found
Q8191916,No sitelink found
Q8338603,No sitelink found
Q9013012,No sitelink found
Q9024911,No sitelink found
Q9027643,No sitelink found
Q9201022,No sitelink found
Q9374226,No sitelink found
Q9388321,No sitelink found
Q10294849,No sitelink found
Q10317353,No sitelink found
Q11051947,No sitelink found
Q11693837,No sitelink found
Q11696690,No sitelink found
Q11698387,No sitelink found
Q11715281,No sitelink found
Q11942117,No sitelink found
Q11967711,No sitelink found
