instance_of,predicate,count_qids
human,instance of,4612
human,sex or gender,4608
human,occupation,4159
human,date of birth,4155
human,country of citizenship,3872
human,given name,3848
human,place of birth,3462
human,"languages spoken, written or signed",2659
human,family name,2544
human,date of death,2543
human,place of death,1944
human,Commons category,1300
human,educated at,1096
human,name in native language,756
human,award received,660
human,manner of death,653
human,position held,615
human,cause of death,597
human,employer,507
human,place of burial,489
human,birth name,470
human,member of,466
human,father,457
human,sport,440
human,described by source,417
human,copyright status as a creator,416
human,spouse,377
human,child,365
human,sibling,358
human,field of work,357
human,member of political party,344
human,native language,326
human,religion or worldview,275
human,second family name in Spanish name,271
human,work location,252
human,participated in conflict,238
human,participant in,234
human,mother,233
human,official website,221
human,instrument,220
human,work period (start),206
human,residence,197
human,social media followers,177
human,country for sport,173
human,military or police rank,170
human,on focus list of Wikimedia project,164
human,academic degree,159
human,genre,154
human,different from,137
human,pseudonym,137
human,writing language,130
human,name in kana,127
human,title of chess person,125
human,has works in the collection,123
human,Elo rating,123
human,relative,118
human,Commons Creator page,116
human,member of sports team,115
human,part of,109
human,height,103
human,notable work,100
human,family,95
human,described at URL,94
fictional human,sex or gender,84
fictional human,instance of,84
human,eye color,83
human,significant event,82
video game,publication date,80
human,place of detention,80
video game,instance of,80
video game,platform,79
video game,genre,79
human,military branch,78
video game,game mode,78
fictional human,present in work,78
human,hair color,78
human,religious order,77
human,student of,72
human,military casualty classification,69
human,canonization status,66
video game,publisher,64
video game,developer,63
human,work period (end),62
human,noble title,61
human,number of children,59
human,topic's main category,56
human,feast day,54
fictional human,occupation,53
human,subject has role,51
human,floruit,49
human,archives at,49
human,doctoral advisor,49
human,mass,46
human,killed by,46
human,position played on team / speciality,46
fictional human,performer,44
human,ethnic group,43
video game,country of origin,42
human,voice type,41
human,nickname,41
film character,sex or gender,40
fictional human,from narrative universe,40
film character,present in work,40
film character,instance of,40
human,doctoral student,40
Hobbit,sex or gender,38
Hobbit,native language,38
Hobbit,instance of,38
Hobbit,from narrative universe,38
literary character,sex or gender,37
literary character,instance of,37
animated character,instance of,36
fictional human,country of citizenship,36
animated character,present in work,36
literary character,present in work,36
animated character,sex or gender,34
human,allegiance,33
human,candidacy in election,33
human,maintained by WikiProject,33
fictional human,given name,32
human,blood type,32
Hobbit,country of citizenship,32
film character,performer,31
human,movement,30
film character,from narrative universe,30
human,convicted of,30
fictional human,creator,29
protected area,IUCN protected areas category,29
human,student,29
protected area,country,29
protected area,coordinate location,29
protected area,instance of,29
fictional human,manner of death,28
day of the week within a given month,subclass of,28
day of the week within a given month,day of week,28
protected area,located in the administrative territorial entity,28
fictional human,hair color,28
film character,occupation,28
human,record label,28
day of the week within a given month,instance of,28
day of the week within a given month,month of the year,28
Hobbit,family,28
Hobbit,father,28
Hobbit,child,27
protected area,inception,27
literary character,from narrative universe,27
protected area,area,27
animated character,performer,27
Wikidata property for an identifier,property constraint,26
Hobbit,spouse,26
Naturschutzgebiet,located in the administrative territorial entity,26
Naturschutzgebiet,Commons category,26
Naturschutzgebiet,country,26
Naturschutzgebiet,geoshape,26
Naturschutzgebiet,IUCN protected areas category,26
human,artist files at,26
Naturschutzgebiet,area,26
Naturschutzgebiet,instance of,26
Naturschutzgebiet,inception,26
Naturschutzgebiet,coordinate location,26
Wikidata property for an identifier,instance of,26
protected area,official name,25
fictional human,"languages spoken, written or signed",25
Wikidata property for an identifier,property proposal discussion,25
Naturschutzgebiet,official name,25
literary character,country of citizenship,25
Hobbit,mother,25
protected area,Commons category,24
Wikidata property for an identifier,Wikidata property example,24
taxon,instance of,24
literary character,creator,24
film character,"languages spoken, written or signed",23
taxon,parent taxon,23
taxon,taxon rank,23
taxon,taxon name,23
fictional human,family name,23
animated character,hair color,22
fictional human,date of birth,22
protected area,geoshape,22
human,copyright representative,22
Wikimedia project page,instance of,22
taxon,short name,22
human,unmarried partner,22
Naturschutzgebiet,applies to jurisdiction,21
human,medical condition,21
animated character,eye color,21
human,contributed to creative work,20
fictional human,place of birth,20
Hobbit,sibling,20
fossil taxon,taxon name,20
anime character,sex or gender,20
fossil taxon,taxon rank,20
fossil taxon,parent taxon,20
film character,creator,20
film character,country of citizenship,20
literary character,manner of death,20
literary character,"languages spoken, written or signed",20
anime character,present in work,20
video game,part of the series,20
fossil taxon,instance of,20
anime character,instance of,20
fictional human,eye color,19
human,consecrator,19
animated character,occupation,19
human,partner in business or sport,19
literary character,occupation,19
protected area,applies to jurisdiction,19
film character,given name,19
fossil taxon,IUCN conservation status,19
television character,sex or gender,19
television character,instance of,19
television character,present in work,19
human,political ideology,19
video game,official website,18
video game,distributed by,18
human,affiliation,18
fictional human,killed by,18
fossil taxon,short name,17
video game,language of work or name,17
Wikidata property for authority control,property constraint,17
video game character,instance of,17
fictional human,narrative role,17
manga character,sex or gender,17
video game character,sex or gender,17
animated character,from narrative universe,17
manga character,present in work,17
