Original_QID,Redirect_QID
Q28032212,Q20110300
Q39621741,Q38898982
Q2668254,Q486816
Q18351165,Q61080495
Q20749434,Q20746601
Q26868997,Q15106451
Q47018119,Q12230876
Q16237129,Q11310256
Q16924356,Q11318512
Q19840617,Q12758055
Q8198574,Q754124
Q17335617,Q12306805
Q51590273,Q51580981
Q24035935,Q3746667
Q28554232,Q1403927
Q25068498,Q25050824
Q18917143,Q5657275
Q20853589,Q20827654
Q7914767,Q13009018
Q3337416,Q12248725
Q52210564,Q4204248
Q6452956,Q4843701
Q11784930,Q104863335
Q21666169,Q15242873
Q7646307,Q1835292
Q25936450,Q3899985
Q47906900,Q6107327
Q18810161,Q16669139
Q24578867,Q20171639
Q52776328,Q3048
Q5494766,Q2193645
Q27624442,Q18406872
Q30004696,Q24010187
Q27898345,Q25706619
Q30062054,Q3242609
Q22160950,Q10784782
Q24064069,Q20058821
Q10322153,Q7646993
Q21294625,Q18012133
Q21454004,Q21289387
Q21458612,Q3174364
Q21462575,Q19973846
Q24020880,Q4219999
Q4586632,Q15838913
Q15146738,Q15989702
Q21600050,Q21597882
Q22022306,Q21998656
Q22099628,Q60806764
Q23010085,Q23010075
Q26298210,Q17249002
Q29032947,Q1880833
Q29477140,Q27888933
Q30245053,Q2899808
Q43309672,Q25631198
Q43426947,Q13415723
Q47010461,Q42529534
Q50768083,Q27536215
Q9150666,Q24924995
Q11753408,Q104028901
Q11778521,Q11722262
Q13003337,Q7238668
Q15074405,Q1977098
Q15839352,Q23615038
Q17401780,Q109560319
Q19162194,Q333425
Q19516570,Q19360157
Q19851036,Q1321933
Q20631374,Q1418864
Q20645945,Q347524
Q20855844,Q2696137
Q20855895,Q11906521
Q20871085,Q404475
Q20874130,Q3030295
Q21281105,Q16650625
Q21334611,Q20478374
Q21600615,Q14948418
Q22342951,Q11351877
Q23038414,Q7850212
Q24005108,Q7294033
Q24088959,Q20479447
Q24276373,Q11334623
Q27057958,Q3148195
Q27980224,Q23765562
Q28025377,Q63184623
Q28058772,Q19724310
Q28607849,Q2165053
Q29221374,Q2263262
Q29344362,Q112577905
Q29473159,Q16027960
Q31747944,Q4665362
Q42427758,Q4276467
Q45027511,Q7674336
Q47002648,Q11904823
Q47232099,Q98113952
Q47516387,Q43444325
Q51711119,Q1342360
Q55093313,Q51114795
Q55104610,Q16010531
Q55206312,Q7925210
Q4056842,Q12076599
Q3387995,Q31737920
Q20667185,Q20127264
Q15285164,Q12255529
Q23810536,Q15970937
Q3231106,Q2756349
Q4056033,Q2587180
Q13360898,Q1909930
Q15122245,Q12034838
Q15147478,Q1696340
Q50418856,Q2645889
Q19018868,Q17113974
Q3300317,Q64712781
Q18003092,Q4218671
Q3360102,Q5082055
Q28016184,Q18508515
Q27508673,Q18670961
Q27517509,Q16585114
Q21288771,Q1263855
Q23896810,Q19216922
Q11792108,Q1500183
Q5662851,Q4711962
Q20102250,Q3959306
Q46998731,Q16665106
Q27767472,Q21511862
Q15269597,Q4233718
Q26250762,Q21467122
Q18507747,Q4736137
Q22338001,Q21809867
Q18516732,Q1918522
Q16932651,Q1918577
Q16944013,Q323751
Q21452930,Q21345034
Q15061916,Q14916945
Q15233620,Q947204
Q19352042,Q12350160
Q20102292,Q18607625
Q20579036,Q13638779
Q20706493,Q1228726
Q24571889,Q12731699
Q27858278,Q18691915
Q28007928,Q160202
Q28555888,Q16184074
Q42295212,Q21465378
Q52063610,Q5606710
Q5935639,Q3810081
Q15296480,Q12297499
Q52452896,Q3299000
Q14467134,Q4097706
Q18084503,Q1395624
Q51845332,Q2958100
Q11572034,Q7886692
Q12356380,Q12274795
Q21403099,Q1319924
Q46998975,Q27431274
Q18516718,Q1918577
Q21686591,Q2552195
Q28058566,Q18810940
Q22948204,Q18388296
Q9339637,Q28312812
Q25391124,Q37994915
Q28099559,Q27597941
Q28099771,Q27598233
Q29584091,Q27559845
Q30136050,Q27597941
Q15613293,Q5702849
Q16645276,Q13742178
Q28839889,Q27598255
Q29477721,Q27559787
Q26875104,Q21853467
Q3537486,Q2036542
Q2845448,Q855818
Q16259048,Q10350262
Q19238077,Q7857654
Q18091411,Q11339105
Q972106,Q4037828
Q2249133,Q2243689
Q3761836,Q2185497
Q4842407,Q3422429
Q6953752,Q3334364
Q7353482,Q3939296
Q16258806,Q2459001
Q11658084,Q6902780
Q5282402,Q3388790
Q7700645,Q11442298
Q20891838,Q19946302
Q13228657,Q12754227
Q16523744,Q5915039
Q19607712,Q3653626
Q15172,Q189266
Q20030147,Q7520410
Q15628134,Q1026348
Q3199063,Q1983903
Q14930934,Q15881478
Q18785789,Q12127486
Q28040058,Q23681074
Q25406019,Q965035
Q9031000,Q3853631
Q16874223,Q16434520
